"conceptId","fsn","synonyms"
"41991000087108","Abrasion of conjunctiva of right eye (disorder)","Abrasion of conjunctiva of right eye | Abrasion of right conjunctiva"
"10900191000119103","Abrasion of cornea of right eye (disorder)","Abrasion of cornea of right eye | Abrasion of right cornea | Right corneal abrasion"
"283063004","Abrasion of dorsum of foot (disorder)","Abrasion of dorsum of foot | Abrasion of skin of dorsum of foot"
"283063004","Abrasion of dorsum of foot (disorder)","Abrasion of dorsum of foot | Abrasion of skin of dorsum of foot"
"283051009","Abrasion of ear region (disorder)","Abrasion of ear region | Abrasion of skin of ear"
"283051009","Abrasion of ear region (disorder)","Abrasion of ear region | Abrasion of skin of ear"
"211257004","Abrasion of elbow, infected (disorder)","Abrasion of elbow, infected | Infected abrasion of skin of elbow"
"211257004","Abrasion of elbow, infected (disorder)","Abrasion of elbow, infected | Infected abrasion of skin of elbow"
"283050005","Abrasion of eye region (disorder)","Abrasion of eye region | Graze of eye region"
"283050005","Abrasion of eye region (disorder)","Abrasion of eye region | Graze of eye region"
"231815005","Abrasion of eyelid (disorder)","Abrasion of eyelid | Abrasion of skin of eyelid"
"231815005","Abrasion of eyelid (disorder)","Abrasion of eyelid | Abrasion of skin of eyelid"
"210987008","Abrasion of face (disorder)","Abrasion of face | Abrasion, face | Facial graze | Graze of face"
"210987008","Abrasion of face (disorder)","Abrasion of face | Abrasion, face | Facial graze | Graze of face"
"210992005","Abrasion of face, infected (disorder)","Abrasion of face, infected | Infected abrasion of skin of face"
"210992005","Abrasion of face, infected (disorder)","Abrasion of face, infected | Infected abrasion of skin of face"
"211061001","Abrasion of flank, infected (disorder)","Abrasion of flank, infected | Infected abrasion of skin of flank"
"211061001","Abrasion of flank, infected (disorder)","Abrasion of flank, infected | Infected abrasion of skin of flank"
"110157002","Abrasion of floor of mouth (disorder)","Abrasion of floor of mouth"
"211402004","Abrasion of foot (disorder)","Abrasion of foot | Abrasion of skin of foot"
"211402004","Abrasion of foot (disorder)","Abrasion of foot | Abrasion of skin of foot"
"211404003","Abrasion of foot and toe, without mention of infection, NOS (disorder)","Abrasion of foot and toe, without mention of infection, NOS"
"211406001","Abrasion of foot, infected (disorder)","Abrasion of foot, infected | Infected abrasion of skin of foot"
"211406001","Abrasion of foot, infected (disorder)","Abrasion of foot, infected | Infected abrasion of skin of foot"
"211258009","Abrasion of forearm, infected (disorder)","Abrasion of forearm, infected | Infected abrasion of skin of forearm"
"211258009","Abrasion of forearm, infected (disorder)","Abrasion of forearm, infected | Infected abrasion of skin of forearm"
"110164000","Abrasion of forehead (disorder)","Abrasion of forehead | Abrasion of skin of forehead"
"283061002","Abrasion of genitalia (disorder)","Abrasion of genitalia"
"283061002","Abrasion of genitalia (disorder)","Abrasion of genitalia"
"211062008","Abrasion of groin, infected (disorder)","Abrasion of groin, infected | Infected abrasion of skin of groin"
"211062008","Abrasion of groin, infected (disorder)","Abrasion of groin, infected | Infected abrasion of skin of groin"
"283059006","Abrasion of hand (disorder)","Abrasion of hand | Abrasion of skin of hand | Graze of hand"
"283059006","Abrasion of hand (disorder)","Abrasion of hand | Abrasion of skin of hand | Graze of hand"
"110159004","Abrasion of hard palate (disorder)","Abrasion of hard palate"
"283049005","Abrasion of head (disorder)","Abrasion of head"
"283049005","Abrasion of head (disorder)","Abrasion of head"
"283048002","Abrasion of head and neck (disorder)","Abrasion of head and neck | Abrasion of head and/or neck"
"283048002","Abrasion of head and neck (disorder)","Abrasion of head and neck | Abrasion of head and/or neck"
"211337000","Abrasion of hip, infected (disorder)","Abrasion of hip, infected | Infected abrasion of skin of hip"
"211337000","Abrasion of hip, infected (disorder)","Abrasion of hip, infected | Infected abrasion of skin of hip"
"59161000087101","Abrasion of internal part of mouth (disorder)","Abrasion of internal part of mouth"
"211054000","Abrasion of interscapular region, infected (disorder)","Abrasion of interscapular region, infected | Infected abrasion of skin of interscapular region of back"
"211054000","Abrasion of interscapular region, infected (disorder)","Abrasion of interscapular region, infected | Infected abrasion of skin of interscapular region of back"
"262632000","Abrasion of intraoral surface of lip (disorder)","Abrasion of intraoral surface of lip"
"262632000","Abrasion of intraoral surface of lip (disorder)","Abrasion of intraoral surface of lip"
"211339002","Abrasion of knee, infected (disorder)","Abrasion of knee, infected | Infected abrasion of skin of knee"
"211339002","Abrasion of knee, infected (disorder)","Abrasion of knee, infected | Infected abrasion of skin of knee"
"11849661000119103","Abrasion of left chest wall (disorder)","Abrasion of left chest wall | Abrasion of skin of left chest wall"
"10900231000119107","Abrasion of left cornea (disorder)","Abrasion of cornea of left eye | Abrasion of left cornea | Left corneal abrasion"
"11843751000119107","Abrasion of left ear (disorder)","Abrasion of left ear | Abrasion of skin of left ear"
"47401000087104","Abrasion of left eye region (disorder)","Abrasion of left eye region"
